"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOLS"
"SCN8A",-0.165944727808977,3.19970704996396,-3.48809890620791,0.00222925202402039,0.284718281333326,-1.36273638300906,"SCN8A"
"CD34",0.174926345354661,3.30087144619429,3.48435916669652,0.00224888170222924,0.284718281333326,-1.36993186798642,"CD34"
"ZNF146",0.740640986365138,5.52299529310578,3.48193524024584,0.00226169532535637,0.284718281333326,-1.37459507617885,"ZNF146"
"ZXDC",0.862835159430404,5.36509160062397,3.47671739606077,0.00228952223621534,0.284718281333326,-1.38463174641851,"ZXDC"
"RPL21P28",1.06891439909652,8.2199657543844,3.46976576215515,0.00232711834032526,0.284718281333326,-1.39800009166757,"RPL21P28"
"VPS36",0.531684662024865,4.82939283558061,3.46651038068936,0.00234493194477185,0.284718281333326,-1.40425903486721,"VPS36"
"CHD1",0.732261460319323,5.74810787910958,3.46532534740746,0.00235144967788341,0.284718281333326,-1.40653722208601,"CHD1"
"NSUN5P2",-0.261758517235711,3.71929212367177,-3.46403413722804,0.00235857163142777,0.284718281333326,-1.40901940191304,"NSUN5P2"
"LTA",0.812842302107265,5.89578327454739,3.46385492326776,0.00235956179709663,0.284718281333326,-1.40936390626206,"LTA"
"KAT6B",-0.253060098375993,3.56010892459122,-3.46191337099122,0.00237031515248035,0.284718281333326,-1.41309599993488,"KAT6B"
"UMPS",-0.192859538172576,3.3520419262176,-3.45879406236763,0.00238769233986518,0.284718281333326,-1.41909135945111,"UMPS"
"PRKAR1A",1.5785687703064,6.45587288529973,3.4584075713375,0.00238985410740397,0.284718281333326,-1.4198341457746,"PRKAR1A"
"RIC8B",0.55505739635325,4.77782049762787,3.45160512199201,0.00242821825276487,0.284718281333326,-1.43290556562342,"RIC8B"
"RAB11A",0.753403206050291,7.7155303219544,3.45126884295462,0.00243013037693934,0.284718281333326,-1.43355165150748,"RAB11A"
"KLRG1",-0.644151715363051,5.01723374051645,-3.44799529058933,0.0024488215493402,0.284718281333326,-1.439840564384,"KLRG1"
"RAB35",1.27493408825802,7.66413949118732,3.44590482630553,0.00246083128968418,0.284718281333326,-1.44385614193951,"RAB35"
"PBX2",1.49352774298331,6.66117189400465,3.44383016136985,0.00247280737662393,0.284718281333326,-1.44784100472186,"PBX2"
"TIPRL",0.60954494208058,4.33391761000277,3.44019939634644,0.00249390382068984,0.284718281333326,-1.45481382691669,"TIPRL"
"VSIG1",0.283293145292217,3.60376542074786,3.43996966687266,0.00249524457794569,0.284718281333326,-1.45525498048588,"VSIG1"
"DCUN1D4",0.484611497060278,4.84196996658717,3.43755450297274,0.00250938291248289,0.284718281333326,-1.4598925876107,"DCUN1D4"
"NIPA1",0.794228453884613,5.45079529803434,3.43730224868524,0.00251086412859783,0.284718281333326,-1.46037693826184,"NIPA1"
"FAM185A",-0.239678208702841,3.40830276335026,-3.43602247027533,0.00251839209902403,0.284718281333326,-1.46283414173788,"FAM185A"
"NGB",-0.17728371477364,3.30166901948722,-3.43508716066415,0.00252390781264925,0.284718281333326,-1.46462986753795,"NGB"
"CREBL2",0.365268247722469,3.89572106052763,3.42532787269482,0.0025821715499482,0.288738327949584,-1.48336241702507,"CREBL2"
"SNORD103C",0.497845175485834,3.50659023845805,3.42456633910693,0.00258677302482181,0.288738327949584,-1.48482379546396,"SNORD103C"
"GCLC",0.4803302628381,4.716579338577,3.41785397605335,0.00262768082246633,0.290032108817109,-1.49770253503069,"GCLC"
"RGS17",-0.20473015269821,3.37348556727789,-3.41555304138455,0.00264184901077482,0.290032108817109,-1.50211631004901,"RGS17"
"ZNF280C",-0.307263209582743,3.77950820012629,-3.41316899424913,0.00265660792679674,0.290032108817109,-1.50668900764832,"ZNF280C"
"TRA2B",0.864541851661632,7.15369218131777,3.41004273512896,0.00267608413180395,0.290032108817109,-1.51268450899547,"TRA2B"
"COX10",0.770608261979412,6.30552384513697,3.40971660804297,0.00267812390245836,0.290032108817109,-1.51330989975129,"COX10"
"SLC35A1",0.769135653848301,6.29699764777742,3.40692605093951,0.00269563990521144,0.290032108817109,-1.51866075119304,"SLC35A1"
"RSL24D1",0.595312857576479,8.37501417559218,3.40438297970642,0.00271170017079142,0.290032108817109,-1.52353642290956,"RSL24D1"
"SLC39A4",-0.246772705630832,3.57091802750665,-3.40128657322457,0.00273138148138409,0.290032108817109,-1.5294721544381,"SLC39A4"
"TMED7",0.355628006819035,4.03910581230056,3.40087336550174,0.00273401846106843,0.290032108817109,-1.53026419498729,"TMED7"
"PDSS2",0.815684318768978,5.43182588029407,3.40034594014768,0.00273738796928974,0.290032108817109,-1.53127514565349,"PDSS2"
"PKIA",0.627315052882723,5.12102787666111,3.39856504813161,0.00274879544852126,0.290032108817109,-1.53468850404298,"PKIA"
"PLEKHG2",-0.273877871958576,3.76105497322948,-3.38674179208127,0.00282571827909792,0.294865229840375,-1.55734196244673,"PLEKHG2"
"NXT2",0.4761740188566,4.10483733786308,3.38334552358716,0.00284820154933653,0.294865229840375,-1.56384674779975,"NXT2"
"FAM102A",0.840578332207908,7.69332275917483,3.38063957161908,0.00286624017056955,0.294865229840375,-1.56902858058468,"FAM102A"
